source_file,frame_number,active_class_index,source_number_index,azimuth,elevation,distance,segment_length
fold3_room12_mix001.csv,33,0,1,-169,-11,156,21
fold3_room12_mix001.csv,64,0,1,-170,-11,155,12
fold3_room12_mix001.csv,131,0,1,-170,-11,154,21
fold3_room12_mix001.csv,162,0,1,-170,-11,155,4
fold3_room12_mix001.csv,183,0,1,-170,-11,155,26
fold3_room12_mix001.csv,256,0,1,-170,-11,155,5
fold3_room12_mix001.csv,285,0,1,-170,-11,155,29
fold3_room12_mix001.csv,325,0,1,-170,-11,155,17
fold3_room12_mix001.csv,350,0,1,-170,-11,155,5
fold3_room12_mix001.csv,395,0,1,-170,-11,154,14
fold3_room12_mix001.csv,417,0,1,-170,-11,155,8
fold3_room12_mix001.csv,435,0,1,-170,-11,155,27
fold3_room12_mix001.csv,562,0,1,-170,-11,155,18
fold3_room12_mix001.csv,604,0,1,-170,-11,155,16
fold3_room12_mix001.csv,744,0,1,-170,-11,155,30
fold3_room12_mix001.csv,812,0,1,-170,-11,155,15
fold3_room12_mix001.csv,834,0,1,-170,-11,155,3
fold3_room12_mix001.csv,926,0,1,-170,-11,155,3
fold3_room12_mix001.csv,1059,0,1,-170,-11,155,3
fold3_room12_mix001.csv,1070,0,1,-170,-11,155,13
fold3_room12_mix001.csv,1091,0,1,-170,-11,154,39
fold3_room12_mix001.csv,1136,0,1,-170,-11,155,49
fold3_room12_mix001.csv,1193,0,1,-170,-11,154,20
fold3_room12_mix001.csv,1228,0,1,-170,-11,155,3
fold3_room12_mix001.csv,1281,0,1,-170,-11,154,8
fold3_room12_mix001.csv,1301,0,1,-170,-11,155,17
fold3_room12_mix001.csv,1321,0,1,-171,-11,154,9
fold3_room12_mix001.csv,1405,0,1,-171,-11,155,12
fold3_room12_mix001.csv,1446,0,1,-170,-11,154,8
fold3_room12_mix001.csv,1459,0,1,-170,-11,155,15
fold3_room12_mix001.csv,1491,0,1,-170,-11,155,41
fold3_room12_mix001.csv,1536,0,2,121,-11,149,9
fold3_room12_mix001.csv,1554,0,1,-170,-11,155,22
fold3_room12_mix001.csv,1729,0,1,-170,-11,155,10
fold3_room12_mix001.csv,1745,0,1,-171,-12,155,11
fold3_room12_mix001.csv,1840,0,1,-170,-11,155,27
fold3_room12_mix001.csv,1875,0,1,-170,-11,155,96
